iter	Passed	Remaining
0	156	156468
1	158	79219
2	160	53374
3	162	40467
4	164	32667
5	165	27447
6	167	23758
7	169	20964
8	170	18783
9	172	17034
10	173	15608
11	175	14432
12	177	13455
13	179	12607
14	180	11875
15	182	11214
16	183	10639
17	185	10129
18	187	9684
19	189	9267
20	190	8887
21	192	8538
22	193	8223
23	195	7941
24	196	7672
25	198	7427
26	199	7201
27	201	6989
28	202	6794
29	204	6614
30	206	6445
31	207	6290
32	209	6144
33	211	6003
34	213	5878
35	215	5760
36	216	5646
37	218	5539
38	220	5433
39	222	5332
40	223	5236
41	225	5148
42	227	5058
43	228	4971
44	230	4885
45	231	4807
46	233	4729
47	234	4654
48	236	4582
49	237	4517
50	239	4451
51	240	4385
52	241	4321
53	243	4261
54	244	4205
55	245	4144
56	247	4086
57	248	4031
58	249	3978
59	250	3926
60	251	3877
61	253	3827
62	254	3778
63	255	3730
64	256	3683
65	257	3638
66	258	3593
67	258	3544
68	259	3502
69	260	3462
70	261	3422
71	262	3384
72	263	3347
73	264	3309
74	265	3273
75	266	3238
76	267	3203
77	268	3168
78	268	3135
79	269	3102
80	270	3068
81	271	3035
82	271	3003
83	272	2971
84	272	2938
85	273	2909
86	274	2877
87	274	2849
88	275	2820
89	276	2793
90	276	2765
91	277	2739
92	278	2714
93	279	2689
94	279	2665
95	280	2641
96	281	2619
97	282	2596
98	282	2574
99	283	2552
100	284	2531
101	284	2507
102	285	2487
103	286	2467
104	287	2448
105	287	2428
106	288	2409
107	289	2391
108	290	2373
109	291	2355
110	291	2337
111	292	2320
112	293	2303
113	294	2287
114	295	2270
115	295	2253
116	296	2237
117	297	2222
118	297	2205
119	298	2190
120	299	2175
121	300	2161
122	300	2144
123	301	2129
124	302	2115
125	303	2102
126	303	2089
127	304	2073
128	305	2060
129	305	2047
130	306	2034
131	307	2022
132	308	2009
133	309	1998
134	310	1986
135	310	1975
136	311	1963
137	312	1951
138	313	1939
139	313	1928
140	314	1917
141	315	1905
142	316	1895
143	317	1884
144	317	1874
145	318	1863
146	319	1853
147	320	1843
148	321	1833
149	321	1824
150	322	1814
151	323	1805
152	324	1795
153	325	1786
154	326	1777
155	326	1768
156	327	1759
157	328	1750
158	329	1741
159	330	1732
160	330	1723
161	331	1715
